,Name,Price,URL
75,Inno3d GeForce RTX 3060 Twin X2 LHR 12GB GDDR6 192-bit Gaming Graphics Card,36799,https://mdcomputers.in/inno3d-rtx-3060-twin-x2-lhr-12gb-n30602-12d6-119032ah.html
76,Inno3d GeForce RTX 3070 ICHILL X4 LHR 8GB GDDR6 256-bit Gaming Graphics Card,61999,https://mdcomputers.in/inno3d-rtx-3070-ichill-x4-lhr-8gb-c30704-08d6x-1710va35h.html
77,Inno3d GeForce RTX 3070 Ti iCHILL X4 8GB GDDR6X 256-bit Gaming Graphics Card,70499,https://mdcomputers.in/inno3d-rtx-3070-ti-ichill-x4-8gb-c307t4-086xx-1820va35.html
78,Inno3d GeForce RTX 3070 Ti X3 LHR 8GB GDDR6X 256-bit Gaming Graphics Card,64749,https://mdcomputers.in/inno3d-rtx-3070-ti-x3-8gb-lhr.html
79,Inno3d GeForce RTX 3080 iCHILL X4 LHR 10GB GDDR6X 320-bit Gaming Graphics Card,86599,https://mdcomputers.in/inno3d-rtx-3080-ichill-x4-10gb-c30804-106xx-1810va36h.html
80,Inno3d GeForce RTX 3080 iCHILL X4 LHR 12GB GDDR6X 384-bit Gaming Graphics Card,88499,https://mdcomputers.in/inno3d-geforce-rtx-3080-12gb-ichill-x4-lhr-c30804-126xx-1810va36h.html
81,Inno3d GeForce RTX 3080 Ti iCHILL X4 12GB GDDR6X 384-bit Gaming Graphics Card,117499,https://mdcomputers.in/inno3d-rtx-3080-ti-ichill-x4-12gb-c308t4-126xx-1810va36.html
82,Inno3d GeForce RTX 3080 X3 OC LHR 10GB GDDR6X 320-bit Gaming Graphics Card,83255,https://mdcomputers.in/inno3d-rtx-3080-x3-oc-lhr-10gb-n30803-106xx-1810va44h.html
83,Inno3d GeForce RTX 3090 Ti OC X3 24GB GDDR6X 384-bit Gaming Graphics Card,186499,https://mdcomputers.in/inno3d-rtx-3090-ti-oc-x3-24gb.html
84,MSI GeForce GT 730 OC V1 Edition 4GB DDR3 64-bit Graphics Card,6899,https://mdcomputers.in/msi-n730k-4gd3-ocv1.html
85,MSI GeForce GTX 1650 D6 Ventus XS OCV1 4GB GDDR6 128-bit Gaming Graphics Card,20999,https://mdcomputers.in/msi-gtx-1650-d6-ventus-xs-4g-ocv1.html
86,MSI GeForce GTX 1650 Ventus XS OCV1 4GB GDDR5 128-bit Gaming Graphics Card,20799,https://mdcomputers.in/msi-gtx-1650-ventus-xs-4g-ocv1.html
87,MSI GeForce GTX 1660 Super Ventus XS OC 6GB GDDR6 192-bit Gaming Graphics Card,24999,https://mdcomputers.in/msi-gtx-1660-super-ventus-xs-oc.html
88,MSI GeForce Pascal Series GT 1030 Aero ITX OC 2GB DDR4 64-bit Gaming Graphics Card,6799,https://mdcomputers.in/msi-gt-1030-aero-itx-oc-2gd4.html
89,Msi GeForce RTX 2060 Super Ventus GP OC 8GB GDDR6 256-bit Gaming Graphics Card,45399,https://mdcomputers.in/msi-8gb-gddr6-rtx-2060-super-ventus-gp-oc.html
90,MSI GeForce RTX 2060 Ventus GP OC 6GB GDDR6 192-bit Gaming Graphics Card,32599,https://mdcomputers.in/msi-rtx-2060-ventus-gp-oc-6gb.html
91,MSI GeForce RTX 3050 Gaming X LHR 8GB GDDR6 128-bit Graphics Card,38999,https://mdcomputers.in/msi-rtx-3050-gaming-x-8g.html
92,MSI GeForce RTX 3050 Ventus 2X OC LHR 8GB GDDR6 128-bit Gaming Graphics Card,33200,https://mdcomputers.in/msi-rtx-3050-ventus-2x-oc-lhr-8gb-gddr6.html
93,Msi Geforce RTX 3060 Gaming X LHR 12GB GDDR6 192-bit Gaming Graphics Card,43499,https://mdcomputers.in/msi-rtx-3060-gaming-x-12g-lhr.html
94,MSI GeForce RTX 3060 Ti Ventus 2X OCV1 LHR 8GB GDDR6 256-bit Gaming Graphics Card,50499,https://mdcomputers.in/msi-rtx-3060-ti-ventus-2x-8g-ocv1-lhr.html
95,Msi Geforce RTX 3060 Ventus 2X OC LHR 12GB GDDR6 192-bit Gaming Graphics Card,39999,https://mdcomputers.in/msi-rtx-3060-ventus-2x-12g-oc-lhr.html
96,MSI Geforce RTX 3060 Ventus 3X OC LHR 12GB GDDR6 192-bit Gaming Graphics Card,41200,https://mdcomputers.in/msi-rtx-3060-ventus-3x-12g-oc.html
97,MSI GeForce RTX 3070 Gaming Z Trio LHR 8GB GDDR6 256-bit Gaming Graphics Card,63899,https://mdcomputers.in/msi-rtx-3070-gaming-z-trio-lhr-8gb.html
98,MSI GeForce RTX 3070 Ti Gaming X Trio LHR 8GB GDDR6X 256-bit Gaming Graphics Card,77499,https://mdcomputers.in/msi-rtx-3070-ti-gaming-x-trio-8g-lhr.html
99,MSI GeForce RTX 3070 Ti Ventus 3X OC LHR 8GB GDDR6X 256-bit Gaming Graphics Card,74799,https://mdcomputers.in/msi-rtx-3070-ti-ventus-3x-8g-oc.html
100,MSI GeForce RTX 3070 Ventus 2X OC LHR 8GB GDDR6 256-bit Gaming Graphics Card,58299,https://mdcomputers.in/msi-rtx-3070-ventus-2x-oc-lhr.html
101,MSI Geforce RTX 3070 Ventus 3X OC LHR 8GB GDDR6 256-bit Gaming Graphics Card,64499,https://mdcomputers.in/msi-rtx-3070-ventus-3x-8g-oc-lhr.html
102,MSI GeForce RTX 3070 Ventus 3X Plus 8G OC LHR 8GB GDDR6 256-bit Gaming Graphics Card,64499,https://mdcomputers.in/msi-rtx-3070-ventus-3x-plus-8g-oc-lhr.html
103,MSI GeForce RTX 3080 Gaming Z Trio LHR 12GB GDDR6X 384-bit Gaming Graphics Card,119759,https://mdcomputers.in/msi-rtx-3080-gaming-z-trio-lhr-12gb-gddr6x-rtx-3080-gaming-z-trio-12g-lhr.html
104,MSI GeForce RTX 3080 Ti Gaming X Trio 12GB GDDR6X 384-bit Gaming Graphics Card,122699,https://mdcomputers.in/msi-rtx-3080-ti-gaming-x-trio-12g.html
105,MSI GeForce RTX 3080 Ventus 3X Plus OC LHR 10GB GDDR6X 320-bit Gaming Graphics Card,89999,https://mdcomputers.in/msi-rtx-3080-ventus-3x-plus-10g-oc-lhr.html
106,MSI GeForce RTX 3080 Ventus 3X Plus OC LHR 12GB GDDR6X 384-bit Gaming Graphics Card,105000,https://mdcomputers.in/msi-rtx-3080-ventus-3x-plus-12g-oc-lhr.html
107,MSI GeForce RTX 3090 Ti Gaming X Trio 24GB GDDR6X 384-bit Gaming Graphics Card,212499,https://mdcomputers.in/msi-rtx-3090-ti-gaming-x-trio-24g.html
108,MSI GeForce RTX 3090 VENTUS 3X OC 24GB GDDR6X 384-bit Gaming Graphics Card,170999,https://mdcomputers.in/msi-rtx-3090-ventus-3x-24g-oc.html
109,MSI Radeon RX 6400 Aero ITX 4GB GDDR6 64-bit Gaming Graphics Card,14999,https://mdcomputers.in/msi-rx-6400-aero-itx-4gb-gddr6.html
110,MSI Radeon RX 6600 XT Mech 2X OC 8GB GDDR6 128-Bit Gaming Graphics Card,39725,https://mdcomputers.in/msi-rx-6600-xt-mech-2x-oc-8g.html
111,Msi Radeon RX 6700 XT GAMING X 12GB GDDR6 192-bit Gaming Graphics Card,68499,https://mdcomputers.in/msi-radeon-rx-6700-xt-gaming-x-12g.html
112,Msi Radeon RX 6700 XT MECH 2X OC 12GB GDDR6 192-bit Gaming Graphics Card,51999,https://mdcomputers.in/msi-radeon-rx-6700-xt-mech-2x-oc-12gb.html
113,MSI Radeon RX 6800 XT Gaming X Trio 16GB GDDR6 256-bit Gaming Graphics Card,88499,https://mdcomputers.in/msi-rx-6800-xt-gaming-x-trio-16gb.html
114,Nvidia Quadro RTX 4000 8GB GDDR6 256-bit Workstation Graphics Card,63139,https://mdcomputers.in/nvidia-quadro-rtx-4000.html
115,Nvidia Quadro RTX A2000 12GB GDDR6 192-bit Workstation Graphics Card,46999,https://mdcomputers.in/nvidia-quadro-a2000-12gb-gddr6-900-5g192-2551-000.html
