,URL,Category,Title,Image URL,Price,Details
22,https://www.amazon.fr/dp/0001022369,book,Double concerto e flat major,"https://images-na.ssl-images-amazon.com/images/I/514a6ug-PfL._SX375_BO1,204,203,200_.jpg","30,37 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 1976)
Langue : Français
ISBN-10 : 0001022369
ISBN-13 : 978-0001022362
Poids de l'article : 701 g"
23,https://www.amazon.it/dp/0001022369,book,"Double concerto e flat major: Trompete, Oboe, Streicher und Basso continuo. Partitur.","https://images-na.ssl-images-amazon.com/images/I/514a6ug-PfL._SX375_BO1,204,203,200_.jpg","36,10 €","Dettagli prodotto
Editore : SCHOTT (1 gennaio 1976)
Lingua : Francese
Copertina flessibile : 42 pagine
ISBN-10 : 0001022369
ISBN-13 : 978-0001022362
Peso articolo : 701 g"
24,https://www.amazon.fr/dp/0001022857,book,Concerto grosso 12 c opus 3 part.,"https://images-na.ssl-images-amazon.com/images/I/41trSphEGpL._SX379_BO1,204,203,200_.jpg","25,94 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 2000)
Langue : Français
ISBN-10 : 0001022857
ISBN-13 : 979-0001022859
Poids de l'article : 601 g"
25,https://www.amazon.it/dp/0001022857,book,Concerto grosso 12 c opus 3 part.,"https://images-na.ssl-images-amazon.com/images/I/41trSphEGpL._SX379_BO1,204,203,200_.jpg","29,54 €","Dettagli prodotto
Editore : SCHOTT (1 gennaio 2000)
Lingua : Francese
Spartito musicale : 23 pagine
ISBN-10 : 0001022857
ISBN-13 : 979-0001022859
Peso articolo : 601 g"
26,https://www.amazon.de/dp/0001032666,book,Konzert A-Dur: KV 219. Violine und Orchester. Klavierauszug mit Solostimme. (Edition Schott),"https://images-na.ssl-images-amazon.com/images/I/41PQm+jM+gL._SX380_BO1,204,203,200_.jpg",€18.00,"Product details
Publisher : SCHOTT MUSIC GmbH & Co KG, Mainz; 2. verbesserte edition (22 Oct. 1984)
Language : French
Sheet music : 48 pages
ISBN-10 : 0001032666
ISBN-13 : 978-0001032668
Best Sellers Rank: 3,621,078 in Books (See Top 100 in Books)
880 in Violin Songbooks
2,344,259 in Foreign Language Books"
27,https://www.amazon.fr/dp/0001032666,book,Concert 05 a kv219 violon,"https://images-na.ssl-images-amazon.com/images/I/41PQm+jM+gL._SX380_BO1,204,203,200_.jpg","25,94 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 2000)
Langue : Français
ISBN-10 : 0001032666
ISBN-13 : 978-0001032668
Poids de l'article : 601 g"
28,https://www.amazon.de/dp/0001034677,book,"Tanz der Holzpuppen: Foxtrott aus dem Weihnachtsmärchen ""Tuttifäntchen"". Klavier. (Edition Schott)","https://images-na.ssl-images-amazon.com/images/I/41xrtR4im9L._SX379_BO1,204,203,200_.jpg",€13.00,"Product details
Publisher : SCHOTT MUSIC GmbH & Co KG, Mainz (1 Jan. 2000)
Language : French
Sheet music : 8 pages
ISBN-10 : 0001034677
ISBN-13 : 979-0001034678
Dimensions : 20 x 14 x 4 cm"
29,https://www.amazon.fr/dp/0001034677,book,Tanz der holzpuppen piano,"https://images-na.ssl-images-amazon.com/images/I/41xrtR4im9L._SX379_BO1,204,203,200_.jpg","19,70 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 2000)
Langue : Français
ISBN-10 : 0001034677
ISBN-13 : 979-0001034678
Poids de l'article : 401 g
Dimensions : 20 x 14 x 4 cm"
30,https://www.amazon.de/dp/0001034936,book,Oeuvres complètes d'Orgue: Orgel.,"https://images-na.ssl-images-amazon.com/images/I/319RTzZQFpL._SX380_BO1,204,203,200_.jpg",N/A,N/A
31,https://www.amazon.fr/dp/0001034936,book,Oeuvres completes d'orgue orgue,"https://images-na.ssl-images-amazon.com/images/I/319RTzZQFpL._SX380_BO1,204,203,200_.jpg","51,00 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 2000)
Langue : Français
ISBN-10 : 0001034936
ISBN-13 : 978-0001034938
Poids de l'article : 1.2 kg"
